NEXT MATCHES RESULTS STANDINGS#7.3 1.9 1.9 ( )
2015 2014 2013 2012 2011 2010 2009 2008 2007 2006#7.3 1.9 1.9 ( )
MLB 2014 Results & Historical Odds#7.3 1.9 1.9 ( )
We have noticed that you may be located in a different time zone. You may want to#7.3 1.9 1.9 ( )
change the time zone here to GMT +9 or click the time zone selector at the top right#7.3 1.9 1.9 ( )
corner.#7.3 1.9 1.9 ( )
MLB 2014#7.3 1.9 1.9 ( )
13 Sep 2014 1 2 B's#7.3 1.9 1.9 ( )
19:45 San Francisco Giants - Arizona Diamondbacks 6:2 1.50 2.71 13#6.5 2.17 1.68 (1:0, 0:0, 1:0, 1:0, 0:0, 3:1, 0:0, 0:0, X:1)
18:10 Chicago White Sox - Oakland Athletics 1:0 1.75 2.16 13#6.5 2.09 1.73 (0:0, 0:0, 0:0, 0:0, 0:0, 1:0, 0:0, 0:0, X:0)
18:05 Cleveland Indians - Minnesota Twins 2:0 1.62 2.43 13#8.5 1.81 2.02 (0:0, 0:0, 0:0, 1:0, 0:0, 0:0, 0:0, 1:0, X:0)
16:35 Cincinnati Reds - St.Louis Cardinals 1:0 1.88 1.99 12#6.5 1.93 1.9 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 1:0, X:0)
16:05 Cleveland Indians - Minnesota Twins 8:2 1.50 2.77 8#7.5 1.77 2.1 (2:1, 1:0, 4:0, 0:0, 0:0, 1:0, 0:0, 0:0, X:1)
02:15 San Francisco Giants - Arizona Diamondbacks 5:0 1.63 2.36 13#6.5 1.89 1.96 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 4:0, 1:0, X:0)
02:10 Los Angeles Dodgers - San Diego Padres 4:0 1.63 2.36 13#7.5 1.71 2.12 (0:0, 1:0, 0:0, 0:0, 0:0, 1:0, 1:0, 1:0, X:0)
02:10 Seattle Mariners - Houston Astros 2:5 1.39 3.16 13#6.5 2.04 1.8 (0:0, 2:3, 0:0, 0:0, 0:1, 0:0, 0:0, 0:1, 0:0)
00:10 Chicago White Sox - Oakland Athletics 2:1 2.81 1.47 13#8.5 1.95 1.89 (0:0, 0:0, 0:0, 0:1, 0:0, 0:0, 0:0, 2:0, X:0)
00:10 Milwaukee Brewers - Miami Marlins 4:1 1.80 2.08 13#7.5 2.0 1.79 (0:0, 0:0, 1:0, 1:0, 0:0, 0:0, 2:1, 0:0, X:0)
