NEXT MATCHES RESULTS STANDINGS# 1.86 1.86 7.3 4.3 1.86 1.86 1.86 1.86 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0)
2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006# 1.86 1.86 7.3 4.3 1.86 1.86 1.86 1.86 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0)
MLB 2015 Results & Historical Odds# 1.86 1.86 7.3 4.3 1.86 1.86 1.86 1.86 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0)
MLB 2015# 1.86 1.86 7.3 4.3 1.86 1.86 1.86 1.86 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0)
03 May 2015 1 2 B's# 1.86 1.86 7.3 4.3 1.86 1.86 1.86 1.86 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0)
18:20 Chicago Cubs - Milwaukee Brewers 3:5 -152 +131 13#1.66 2.24 1.0 5.5 1.87 2.0 1.97 1.84 (0:0, 1:1, 0:1, 0:1, 2:0, 0:0, 0:0, 0:2, 0:0)
18:15 St.Louis Cardinals - Pittsburgh Pirates 3:2 -149 +127 13#1.67 2.31 7.5 4.0 1.86 1.99 1.87 1.95 (0:0, 0:0, 0:0, 1:0, 0:0, 0:0, 0:0, 0:0, 0:1, 2:1)
18:10 Houston Astros - Seattle Mariners 7:6 +106 -125 12#2.02 1.82 9.5 5.5 2.02 1.87 1.98 1.81 (3:0, 0:0, 2:1, 1:0, 0:0, 0:1, 0:4, 1:0, X:0)
18:10 Kansas City Royals - Detroit Tigers 4:6 +104 -122 13#2.11 1.75 8.5 4.5 1.91 1.94 1.83 1.96 (0:0, 0:1, 0:0, 0:3, 0:2, 0:0, 2:0, 2:0, 0:0)
18:10 Minnesota Twins - Chicago White Sox 13:3 -123 +106 13#1.81 2.04 1.0 5.5 1.93 1.93 1.96 1.83 (0:0, 0:0, 7:0, 4:2, 0:0, 2:0, 0:0, 0:1, X:0)
17:35 Atlanta Braves - Cincinnati Reds 5:0 +125 -145 12#2.24 1.66 7.0 3.5 1.95 1.89 1.96 1.83 (3:0, 0:0, 1:0, 0:0, 0:0, 1:0, 0:0, 0:0, X:0)
